Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
26.54,12.4507,3.0959,3.1416,3.1238,3.0894,3.0959,6.2375,9.3613,12.4691,0.0373,15.75
27.04,12.4507,3.0909,3.1382,3.0907,3.1308,3.0909,6.2292,9.3199,12.4507,0.0373,18.70
27.54,12.4507,3.1008,3.1284,3.1321,3.0894,3.1008,6.2292,9.3613,12.4507,0.0373,20.67
28.07,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4507,0.0373,21.66
28.54,12.4322,3.0909,3.1382,3.1183,3.0848,3.0909,6.2292,9.3475,12.4507,0.0373,19.20
29.04,12.4691,3.1254,3.1038,3.1321,3.1078,3.1254,6.2292,9.3613,12.4322,0.0373,19.20
29.54,12.4507,3.0860,3.1432,3.1321,3.0894,3.0860,6.2292,9.3613,12.4691,0.0373,18.21
30.04,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4507,0.0373,19.20
30.57,12.4138,3.1057,3.1235,3.1321,3.0525,3.1057,6.2292,9.3613,12.4507,0.2610,22.15
31.07,12.4507,3.1008,3.1284,3.1459,3.0756,3.1008,6.2292,9.3751,12.4138,0.0373,17.23
31.56,12.4322,3.0909,3.1382,3.1321,3.0710,3.0909,6.2292,9.3613,12.4507,0.0373,19.20
32.06,12.4507,3.1008,3.1117,3.1488,3.0894,3.1008,6.2125,9.3613,12.4322,0.0373,20.67
32.56,12.4322,3.0959,3.1333,3.1321,3.0710,3.0959,6.2292,9.3613,12.4507,0.0373,18.21
33.06,12.4322,3.0959,3.1416,3.1238,3.0710,3.0959,6.2375,9.3613,12.4322,0.1119,19.20
33.56,12.4138,3.0811,3.1398,3.1542,3.0387,3.0811,6.2208,9.3751,12.4322,0.1119,18.21
34.06,12.4322,3.0959,3.1416,3.1238,3.0710,3.0959,6.2375,9.3613,12.4138,0.0373,18.70
34.55,12.4322,3.1008,3.1284,3.1459,3.0572,3.1008,6.2292,9.3751,12.4322,0.0373,18.70
35.07,12.4507,3.0811,3.1481,3.1459,3.0756,3.0811,6.2292,9.3751,12.4322,0.1119,18.21
35.57,12.4322,3.0959,3.1416,3.0962,3.0986,3.0959,6.2375,9.3337,12.4507,0.1119,17.23
36.06,12.4507,3.1106,3.1185,3.1321,3.0894,3.1106,6.2292,9.3613,12.4322,0.0373,18.21
36.56,12.4322,3.0811,3.1481,3.1459,3.0572,3.0811,6.2292,9.3751,12.4507,0.0373,18.70
37.06,12.4875,3.0959,3.1333,3.1459,3.1124,3.0959,6.2292,9.3751,12.4322,0.0373,19.20
37.56,12.4322,3.0860,3.1348,3.1542,3.0572,3.0860,6.2208,9.3751,12.4875,0.4847,19.20
38.06,12.4507,3.0959,3.1416,3.1238,3.0894,3.0959,6.2375,9.3613,12.4322,0.0373,18.70
38.56,12.4691,3.0959,3.1416,3.1238,3.1078,3.0959,6.2375,9.3613,12.4507,0.1119,19.20
39.06,12.4138,3.1106,3.1185,3.1183,3.0664,3.1106,6.2292,9.3475,12.4691,0.0373,18.70
39.56,12.4507,3.1008,3.1284,3.1459,3.0756,3.1008,6.2292,9.3751,12.4138,0.1119,18.21
40.06,12.4507,3.1057,3.1235,3.1321,3.0894,3.1057,6.2292,9.3613,12.4507,0.1119,18.21
40.56,12.4507,3.0959,3.1416,3.1238,3.0894,3.0959,6.2375,9.3613,12.4507,0.0373,18.21
41.06,12.4691,3.0909,3.1382,3.1321,3.1078,3.0909,6.2292,9.3613,12.4507,0.1119,18.70
