Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
0.73,12.7454,3.1894,3.1897,3.1893,3.1770,3.1894,6.3791,9.5684,12.7454,0.0000,18.70
1.21,12.7638,3.1992,3.1965,3.2003,3.1678,3.1992,6.3957,9.5960,12.7638,0.0746,19.20
1.72,12.7638,3.1992,3.1965,3.2003,3.1678,3.1992,6.3957,9.5960,12.7638,0.0746,19.20
2.20,12.7638,3.1992,3.1965,3.2003,3.1678,3.1992,6.3957,9.5960,12.7638,0.0746,19.20
2.73,12.7638,3.1992,3.1965,3.2003,3.1678,3.1992,6.3957,9.5960,12.7638,0.0746,19.20
